Write down four words to describe how you're feeling about this course. Separate your four words by commas.,Write down one word to describe how *you* think the majority of your classmates are feeling.,Write down one word to describe how *you* think the instructors are feeling.
"Nervous, expectant, excited, interested",nervous,expectant
"Expectation, practice, team, exercise",earnest,expect
"Stressed, sigh, overwhelmed, overthinking ",Overwhelmed ,Excited 
nervous,curious,excited
"Excited, apprehensive, ready, intrigued ",Unsure,Excited
"excited, chill, worried, fine",worried,excited
"nervous, curious, excited, stress ",nervous,excited
"excited, uncertain, curious, cumulative ",unsure,curious
"Nervous, anticipated, worried, curious",Nervous,Knowledgeable
"expect, nervous, curious, engaged",Nervous,Exciting
"excited, nervous, thankful, happy ",nervous ,excited 
exciting,wait and see,gladly welcome the new students
"Excited, curious, relaxed, interested ",Nervous ,Excited 
"excited, confused, unknown, nervous ",excited ,expect 
"nervous, excited, interesting, curious",Nervous,Excited
"excited, nervous, curious, anxious",nervous,excited
"Worried, nervous, high expectation",They are not aiming for A+,"I’m so so worried because I’m always aiming for A+ and most are them aren’t, this will definitely cause conflict and I don’t want that"
"Sad, Nervous, Tired, Anxious ",Nervous ,Happy
excited,excited to finish,also excited 
"Nervous, excited, passionate, enthusiastic ",Excited,Passionate
"Unsure, nervous, curious, bad teammates tanking grade",unsure,excited
"Curious, looking forward to, happy, excited",expected,happy
"interesting, cooperative, important, useful",anticipation,ready
"Excited, nervous, beneficial, keen",Nervous,Excited
"Excited,nervous, enthusiastic,hopeful",Excited ,Enthusiastic 
"Worried, curious, anxious, lost",nervous,Motivated
confused ， curious， excited， nervous,curious,excited
cooperate with each others,difficult,happy
"Curious, excited, excited, nervous.",Curious,excited
"Nervous, worried, curious, stressed ",Worried,Curious 
excited nervous curiosity interested,interested,curiosity
"Curious, confident, exploring, collaborative",Curious,Anticipating
"Scared, Nervous, Uneasy, ​Concerned",Anxious,Determined
"Neutral, anticipation, excitement, motivated",Excited ,Eager
"excited, enthusiastic, nervous, ready",nervous,excited
"excited, nervous, ready, stressed",nervous ,excited
"Nervous, worried, curious, excited",Excited?????,Excited???
excited,confused,tired
"Worried, excited, nervous, new",Wondering ,Welcoming 
"nervous, unsure, stressful, overwhelming",indifferent,excited
"nervous, difficulty, curious, excited",curious,excited
"Excited, useful, nervous, hardworking",hardworking,Calm
"Excited,worried,ready,confused",Anxious,Prepared
"Nervous, excited, scared, hopeful ",Nervous,Repeated
"Unsure, interested, motivated, hopeful",Anxious,Hopeful
"Interesting,Confused,Curious,Anticipating",Anticipating,Anticipating
cool scary chill active,chill,chill
"Anxious, nervous, hopeful, ready",Anxious,Hopeful
"Excited, nervous, Challenging, Difficult",Nervous,Excited
nervous excited afraid curious,nerivous,normally
"unknown,expected,doubtful,hopeful",eager,good
"Unsure, excited, confused, interested ",Nervous,Excited
"analytical, communication , organisation, presentations",nervous,expect
"Nervous, excited, worried, optimistic ",Excited ,Excited
"confused, open, interested, anxious ",confused ,prepared 
"excited, nervous, curious, optimistic",excited,optimistic
"multi task, hard, tedious?, challenge",challenge,happy
"Excited, interested, aprehensive, curious",Depressed,Scared
"Nervous, challenging, practical, complicate",nice,enthusiastic 
"excited, buzzing, nervous, confused",nervous,Good
"worried, concerned, dread, hope",excited,excited
"Interested, Ready, Anticipation, Team",Unsure,Excited
"nervous, look forward, afraid, curious",nervous,excited
"strain,curious,unknown,try",Curious?,Conventional
"unsure, nervous, curious, motivated",nervous,interest
"Nervous, excited, challenging, fun",Nervous,Stress
"excited, nervous, prepared, passionate",nervous,excited
"Stresses, Nervous, Excited, Curious",Curious,Excited
"curious, collaborative, writing, tough",nervous,excited
"exciting, anxious, curious, thrilling",nervous ,enthusiastic 
"chill, excited, tiresome, okay",chill,excited
"challenging, nervous, fast-paced, stressful",excited,familiar
"Nervous, overwhelmed, interested, curious",Nervous,excited
"Nervous, expectant, excited, interested",nervous,expectant
"intrigued, interested, excited, nervous",nervous,delighted
"curious, wary, excited, neutral",wary,excited
curious happy nervous afraid,great,enjoy
hopeful pass relief excited,hopeful,evil
"curious, nervous, excited, fear",curious,happy
"Nervous, intimidated, interested, worried",Tired,Excited
"expectant，hopeful, exciting",exciting,exciting
"nervous, unsure, stressed, interested ",nervous ,excited 
"Curious, hopeful, nervous, ambitious",Nervous,Helpful
"Afraid,worried,excited,challenge",afraid,do not know
"Exciting, expectation, collaboration, integration",integration,expectation
"unsure, interested, compelled, mandated",interested,excited
"nervous, uncertain, curious, anticipation",nervous,concerned
"Nervous, excited, worried, resolved",nervous,prepared
"Nervous, excited, interested, scared ",Nervous ,Excited 
"Excited, anxious, curious, intrigued",Excited,Excited
excited nervers happy confident,useful,in patience
Be full of familiarity,curious,happy
Be full of familiarity,curious,happy
"Excited, curious, nervous, interested",Nervous ,Excited
"Anticipation,excitement,satisfacton,good",excitement,excite
"Excited, Nervous, Happy, Motivated",Excited,Excited
"Nervous, Excited, Lost , Emotion4",Same,uncertain
excited，extraordinary，nervous，excited,nervous,happy
"excited, nervous, curious, useful",difficult,useful
"Curious, interested, unsure, motivated",Interested,Enthusiastic
"Interested, nervous, excited, different",Apprehensive,Excited
"mysterious, exciting, worrisome, impressive ",anxious ,exalted 
"new,nervous, curious,team",curious,excited
"uncertain,challengeable,curious,worried",uncertain,excited
"Scared, nervous, anxious, worried",Worried?,Don't know
"practice，group work, professional, analyzation",Data,Professional
"Scared, worrying, nervous, curious",worrying,excited
Unknown and confused course,Excited ,Good
"Anxious, excited, curious, challenging ",Nervous ,Excited 
"nervous, apprehensive, excited, eager",nervous,confident
"curious, worried, meaningful, excited",unsure,prepared
"completely, utterly, not, prepared",confident,breeze
"interested, nervous, excited, confused",Confused,Excited
"Exciting,good,surprising",Good,Exciting
"unknown,worried,anxious,hard",difficult,cool
"interested, nervous, excited, confused",Confused,Excited
nervous,nervous,excited
"anxious, optimistic, naive, unprepared",equal,optimistic
"Nervous, Anxious, Clueless, Intrigued ",Nervous,Excited
excited，extraordinary，nervous，excited,nervous,happy
"Complicated,useful,uneasy,tired",Hard,Enjoy
"interested, excited, ",neutral,excited
"Nervous, curious, expectant, excited ",Curious,Expectant 
nervous,nervous,excited to deliver
Excited but scared,Pressured,Excited
Practical; useful; different; fresh,useful,practical
"excited, nervous, anxious, curious",curious,excited
"Excited, Curious, Interested, Motivated",Interested,Excited
"hopeful, nervous, unprepared, ambitious",ready,equipped
"nervous, excited, hectic, heavyload",anxious,eager 
Excited！,"To be honest, I don't know.",Excited.
